,Apartment,Rent,Address,URL,Rooms,Area(m²)
0,2 rm. · Apartment · 60 m²,8.700,"København, Vigerslevvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/60m2-2-room-id-5246669,2,60
1,3 rm. · Apartment · 102 m²,16.500,"København, Hans Hedtofts Gade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/102m2-3-room-id-5247287,3,102
2,2 rm. · Apartment · 60 m²,8.429,"København, Romsdalsgade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/60m2-2-room-id-2511713,2,60
3,3 rm. · Apartment · 88 m²,12.000,"København, Guldborgvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/88m2-3-room-id-2826701,3,88
4,1 rm. · Room · 9 m²,3.500,"København, Charlotte Muncks Vej",https://www.boligportal.dk/en/rental-rooms/k%C3%B8benhavn/9m2-1-room-id-5186205,1,9
5,4 rm. · Apartment · 104 m²,15.600,"København, Teglholmens Østkaj",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/104m2-4-room-id-5247272,4,104
6,2 rm. · Apartment · 49 m²,10.900,"København, Gertrude Steins Vej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/49m2-2-room-id-5247271,2,49
7,4 rm. · Apartment · 113 m²,15.995,"København, Virginiavej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/113m2-4-room-id-5247265,4,113
8,1 rm. · Apartment · 32 m²,6.950,"København, Lindgreens Allé",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/32m2-1-room-id-5247246,1,32
9,4 rm. · Apartment · 107 m²,13.950,"København, Else Alfelts Vej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/107m2-4-room-id-5247245,4,107
10,3 rm. · Apartment · 65 m²,12.200,"København, Nadine Gordimers Vej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/65m2-3-room-id-5247242,3,65
11,4 rm. · Apartment · 95 m²,14.150,"København, C. F. Møllers Allé",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/95m2-4-room-id-5247241,4,95
12,4 rm. · Apartment · 132 m²,24.000,"København, Havneholmen",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/132m2-4-room-id-5147973,4,132
13,2 rm. · Apartment · 60 m²,11.525,"København, Borgmestervangen",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/60m2-2-room-id-4884050,2,60
14,2 rm. · Apartment · 60 m²,11.300,"København, Borgmestervangen",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/60m2-2-room-id-5247228,2,60
15,1 rm. · Room · 12 m²,5.253,"København, Robert Jacobsens Vej",https://www.boligportal.dk/en/rental-rooms/k%C3%B8benhavn/12m2-1-room-id-5140469,1,12
16,2 rm. · Apartment · 51 m²,10.600,"København, Gertrude Steins Vej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/51m2-2-room-id-5247221,2,51
17,5 rm. · Apartment · 120 m²,16.500,"København, Gertrude Steins Vej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/120m2-5-room-id-5247220,5,120
18,3 rm. · Apartment · 100 m²,13.995,"Rødovre, Nørregårdsbakken",https://www.boligportal.dk/lejligheder/r%C3%B8dovre/100m2-3-vaer-id-5244622,3,100
19,4 rm. · Apartment · 111 m²,18.215,"Hellerup, C V E Knuths Vej",https://www.boligportal.dk/lejligheder/hellerup/111m2-4-vaer-id-4990434,4,111
20,3 rm. · Apartment · 96 m²,13.700,"Brønshøj, Præstegårds Allé",https://www.boligportal.dk/lejligheder/br%C3%B8nsh%C3%B8j/96m2-3-vaer-id-4185925,3,96
21,4 rm. · Apartment · 149 m²,34.000,"Hellerup, Tuborg Bakkedrag",https://www.boligportal.dk/lejligheder/hellerup/149m2-4-vaer-id-5199233,4,149
22,4 rm. · Apartment · 115 m²,15.875,"Søborg, Søborg Hovegade",https://www.boligportal.dk/lejligheder/s%C3%B8borg/115m2-4-vaer-id-5118841,4,115
23,4 rm. · Apartment · 138 m²,19.296,"Hellerup, C V E Knuths Vej",https://www.boligportal.dk/lejligheder/hellerup/138m2-4-vaer-id-5246248,4,138
24,2 rm. · Apartment · 89 m²,14.200,"København, Antwerpengade",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/89m2-2-room-id-5247219,2,89
25,3 rm. · Apartment · 123 m²,21.295,"København, Scherfigsvej",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/123m2-3-room-id-5228474,3,123
26,3 rm. · Apartment · 102 m²,13.600,"København, Studiestræde",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/102m2-3-room-id-5247208,3,102
27,2 rm. · Apartment · 102 m²,13.388,"København, Studiestræde",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/102m2-2-room-id-5247206,2,102
28,2 rm. · Apartment · 102 m²,13.388,"København, Studiestræde",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/102m2-2-room-id-5247205,2,102
29,3 rm. · Apartment · 91 m²,12.703,"København, Studiestræde",https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/91m2-3-room-id-5247202,3,91
